wl,n
3.6496,2.339
3.6630,2.354
3.6765,2.370
3.6900,2.387
3.7037,2.403
3.7175,2.418
3.7313,2.433
3.7453,2.449
3.7594,2.465
3.7736,2.481
3.7879,2.497
3.8023,2.514
3.8168,2.531
3.8314,2.549
3.8462,2.566
3.8610,2.582
3.8760,2.600
3.8911,2.618
3.9063,2.635
3.9216,2.653
3.9370,2.671
3.9526,2.689
3.9683,2.708
3.9841,2.726
4.0000,2.745
4.0161,2.764
4.0323,2.784
4.0486,2.802
4.0650,2.822
4.0816,2.843
4.0984,2.863
4.1152,2.883
4.1322,2.904
4.1494,2.926
4.1667,2.948
4.1841,2.969
4.2017,2.990
4.2194,3.012
4.2373,3.034
4.2553,3.057
4.2735,3.078
4.2918,3.102
4.3103,3.126
4.3290,3.150
4.3478,3.174
4.3668,3.197
4.3860,3.222
4.4053,3.247
4.4248,3.273
4.4444,3.298
4.4643,3.322
4.4843,3.348
4.5045,3.374
4.5249,3.400
4.5455,3.426
4.5662,3.453
4.5872,3.480
4.6083,3.508
4.6296,3.534
4.6512,3.561
4.6729,3.589
4.6948,3.617
4.7170,3.646
4.7393,3.676
4.7619,3.705
4.7847,3.734
4.8077,3.763
4.8309,3.793
4.8544,3.822
4.8780,3.851
4.9020,3.879
4.9261,3.909
4.9505,3.938
4.9751,3.969
5.0000,3.999
5.0251,4.030
5.0505,4.061
5.0761,4.094
5.1020,4.125
5.1282,4.158
5.1546,4.190
5.1813,4.223
5.2083,4.255
5.2356,4.287
5.2632,4.320
5.2910,4.353
5.3191,4.387
5.3476,4.421
5.3763,4.456
5.4054,4.491
5.4348,4.526
5.4645,4.561
5.4945,4.596
5.5249,4.632
5.5556,4.670
5.5866,4.707
5.6180,4.745
5.6497,4.784
5.6818,4.824
5.7143,4.866
5.7471,4.907
5.7803,4.950
5.8140,4.993
5.8480,5.037
5.8824,5.081
5.9172,5.127
5.9524,5.173
5.9880,5.219
6.0241,5.267
6.0606,5.315
6.0976,5.367
6.1350,5.419
6.1728,5.473
6.2112,5.527
6.2500,5.583
6.2893,5.638
6.3291,5.696
6.3694,5.753
6.4103,5.812
6.4516,5.871
6.4935,5.933
6.5359,5.996
6.5789,6.062
6.6225,6.129
6.6667,6.194
6.7114,6.260
6.7568,6.326
6.8027,6.395
6.8493,6.465
6.8966,6.539
6.9444,6.613
6.9930,6.686
7.0423,6.760
7.0922,6.833
7.1429,6.909
7.1942,6.985
7.2464,7.064
7.2993,7.142
7.3529,7.224
7.4074,7.304
7.4627,7.384
7.5188,7.461
7.5758,7.537
7.6336,7.615
7.6923,7.698
7.7519,7.785
7.8125,7.869
7.8740,7.952
7.9365,8.034
8.0000,8.118
8.0645,8.204
8.1301,8.292
8.1967,8.381
8.2645,8.472
8.3333,8.560
8.4034,8.648
8.4746,8.735
8.5470,8.828
8.6207,8.922
8.6957,9.018
8.7719,9.113
8.8496,9.210
8.9286,9.309
9.0090,9.408
9.0909,9.509
9.1743,9.613
9.2593,9.724
9.3458,9.836
9.4340,9.947
9.5238,10.061
9.6154,10.179
9.7087,10.304
9.8039,10.431
9.9010,10.557
10.0000,10.687
10.1010,10.821
10.2041,10.963
10.3093,11.108
10.4167,11.256
10.5263,11.408
10.6383,11.565
10.7527,11.725
10.8696,11.890
10.9890,12.059
11.1111,12.234
11.2360,12.419
11.3636,12.608
11.4943,12.801
11.6279,12.994
11.7647,13.200
11.9048,13.410
12.0482,13.624
12.1951,13.840
12.3457,14.069
12.5000,14.303
12.6582,14.541
12.8205,14.773
12.9870,15.015
13.1579,15.265
13.3333,15.531
13.5135,15.802
13.6986,16.073
13.8889,16.353
14.0845,16.634
14.2857,16.924
14.4928,17.217
14.7059,17.522
14.9254,17.837
15.1515,18.164
15.3846,18.502
15.6250,18.850
15.8730,19.199
16.1290,19.551
16.3934,19.909
16.6667,20.283
16.9492,20.672
17.2414,21.065
17.5439,21.464
17.8571,21.877
18.1818,22.326
18.5185,22.806
18.8679,23.303
19.2308,23.808
19.6078,24.326
20.0000,24.874
20.4082,25.449
20.8333,26.042
21.2766,26.674
21.7391,27.347
22.2222,28.078
22.7273,28.852
23.2558,29.678
23.8095,30.575
24.3902,31.526
25.0000,32.539
25.6410,33.608
26.3158,34.790
27.0270,36.090
27.7778,37.516
28.5714,39.083
29.4118,40.803
30.3030,42.690
31.2500,44.740
32.2581,47.012
33.3333,49.528
34.4828,52.313
35.7143,55.375
37.0370,58.813
38.4615,62.712
40.0000,67.101
41.6667,71.968
43.4783,77.307
45.4545,83.297
47.6190,90.071
50.0000,97.835
52.6316,106.633
55.5556,117.163

wl,k
0.2100,1.240
0.2200,1.301
0.2300,1.354
0.2400,1.382
0.2500,1.394
0.2600,1.407
0.2700,1.425
0.2800,1.442
0.2900,1.451
0.3000,1.449
0.3100,1.438
0.3200,1.424
0.3300,1.415
0.3400,1.420
0.3500,1.443
0.3600,1.483
0.3700,1.534
0.3800,1.587
0.3900,1.641
0.4000,1.693
0.4100,1.745
0.4200,1.796
0.4300,1.847
0.4400,1.897
0.4500,1.945
0.4600,1.990
0.4700,2.033
0.4800,2.073
0.4900,2.108
0.5000,2.140
0.5100,2.173
0.5200,2.211
0.5300,2.262
0.5400,2.329
0.5500,2.415
0.5600,2.516
0.5700,2.626
0.5800,2.739
0.5900,2.848
0.6000,2.950
0.6100,3.046
0.6200,3.137
0.6300,3.226
0.6400,3.312
0.6500,3.396
0.6600,3.478
0.6700,3.558
0.6800,3.638
0.6900,3.717
0.7000,3.795
0.7100,3.872
0.7200,3.947
0.7300,4.022
0.7400,4.097
0.7500,4.171
0.7600,4.245
0.7700,4.320
0.7800,4.394
0.7900,4.466
0.8000,4.537
0.8100,4.609
0.8200,4.682
0.8300,4.757
0.8400,4.833
0.8500,4.908
0.8600,4.983
0.8700,5.057
0.8800,5.133
0.8900,5.208
0.9000,5.280
0.9100,5.350
0.9200,5.421
0.9300,5.493
0.9400,5.564
0.9500,5.634
0.9600,5.702
0.9700,5.771
0.9800,5.839
0.9900,5.907
1.0000,5.976
1.0100,6.044
1.0200,6.113
1.0300,6.180
1.0400,6.247
1.0500,6.315
1.0600,6.382
1.0700,6.450
1.0800,6.518
1.0900,6.585
1.1000,6.654
1.1100,6.722
1.1200,6.790
1.1300,6.857
1.1400,6.924
1.1500,6.990
1.1600,7.057
1.1700,7.124
1.1800,7.191
1.1900,7.257
1.2000,7.322
1.2100,7.388
1.2200,7.455
1.2300,7.524
1.2400,7.592
1.2500,7.660
1.2600,7.728
1.2700,7.794
1.2800,7.862
1.2900,7.930
1.3000,7.997
1.3100,8.065
1.3200,8.131
1.3300,8.197
1.3400,8.262
1.3500,8.328
1.3600,8.394
1.3700,8.460
1.3800,8.526
1.3900,8.591
1.4000,8.655
1.4100,8.721
1.4200,8.787
1.4300,8.853
1.4400,8.920
1.4500,8.987
1.4600,9.055
1.4700,9.121
1.4800,9.188
1.4900,9.255
